member_name,profile_url,activity_tags,directory_page,source_file,extraction_status
4 Rent Bv,https://www.apzi.be/en/leden/4-rent-bv-9236,Commercial Vehicles – Suppliers,1,APZI_members_page.json,firecrawl_directory_card
Aca Customs,https://www.apzi.be/en/leden/aca-customs-11106,Customs agencies; Freight Forwarding,1,APZI_members_page.json,firecrawl_directory_card
Actief Interim Zeebrugge,https://www.apzi.be/en/leden/actief-interim-zeebrugge-553,HR-solutions; Employment & Training,1,APZI_members_page.json,firecrawl_directory_card
Adb Assist Bv,https://www.apzi.be/en/leden/adb-assist-bv-555,General Support,1,APZI_members_page.json,firecrawl_directory_card
Aertssen Group,https://www.apzi.be/en/leden/aertssen-group-1519,"General Support; Dredging & Port Works; Logistics; Transport (Road, Rail, Inland Shipping)",1,APZI_members_page.json,firecrawl_directory_card
Agc Glass Europe Zeebrugge Plant,https://www.apzi.be/en/leden/agc-glass-europe-zeebrugge-plant-1753,Shipper/Manufacturer,1,APZI_members_page.json,firecrawl_directory_card
Ago Jobs HR,https://www.apzi.be/en/leden/ago-jobs-hr-559,HR-solutions; Employment & Training,1,APZI_members_page.json,firecrawl_directory_card
Artes Depret,https://www.apzi.be/en/leden/artes-depret-566,Dredging & Port Works,1,APZI_members_page.json,firecrawl_directory_card
Associated Terminal Operators,https://www.apzi.be/en/leden/associated-terminal-operators-1755,Terminal Operators; Logistics; Warehousing; Terminal Operator,1,APZI_members_page.json,firecrawl_directory_card
Auto Luc,https://www.apzi.be/en/leden/auto-luc-1756,"Transport (Road, Rail, Inland Shipping)",1,APZI_members_page.json,firecrawl_directory_card
Baggerwerken Decloedt Zoon,https://www.apzi.be/en/leden/baggerwerken-decloedt-zoon-1757,Dredging & Port Works,1,APZI_members_page.json,firecrawl_directory_card
Bdo Bv,https://www.apzi.be/en/leden/bdo-bv-1758,General Support; Accountancy,1,APZI_members_page.json,firecrawl_directory_card
Be Protection,https://www.apzi.be/en/leden/be-protection-572,General Support,2,APZI_members_page_2.json,firecrawl_directory_card
Belfius,https://www.apzi.be/en/leden/belfius-1759,General Support; Bank,2,APZI_members_page_2.json,firecrawl_directory_card
Belfruco,https://www.apzi.be/en/leden/belfruco-911,Customs agencies; Freight Forwarding,2,APZI_members_page_2.json,firecrawl_directory_card
Belgian New Fruit Wharf,https://www.apzi.be/en/leden/belgian-new-fruit-wharf-571,Terminal Operators,2,APZI_members_page_2.json,firecrawl_directory_card
Belwind,https://www.apzi.be/en/leden/belwind-1761,Offshore,2,APZI_members_page_2.json,firecrawl_directory_card
Boluda Towage Belgium,https://www.apzi.be/en/leden/boluda-towage-belgium-552,Ship Suppliers,2,APZI_members_page_2.json,firecrawl_directory_card
Bootsmannen,https://www.apzi.be/en/leden/bootsmannen-584,General Support,2,APZI_members_page_2.json,firecrawl_directory_card
Borlix,https://www.apzi.be/en/leden/borlix-575,Terminal Operators,2,APZI_members_page_2.json,firecrawl_directory_card
Breb Belgium,https://www.apzi.be/en/leden/breb-belgium-1036,Chartering,2,APZI_members_page_2.json,firecrawl_directory_card
Breydel,https://www.apzi.be/en/leden/breydel-1762,,2,APZI_members_page_2.json,firecrawl_directory_card
Bridgestone Europe Distribution Centre Zeebrugge,https://www.apzi.be/en/leden/bridgestone-europe-distribution-centre-zeebrugge-1763,Commercial Vehicles – Suppliers; Terminal Operators,2,APZI_members_page_2.json,firecrawl_directory_card
Broekman Logistics NV,https://www.apzi.be/en/leden/broekman-logistics-nv-1764,Freight Forwarding; Logistics; Warehousing,2,APZI_members_page_2.json,firecrawl_directory_card
